"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Newfoundland and Labrador i2",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"331 Assisting occupations in support of health services","6,270","30,400","30,520"
"3310 Assisting occupations in support of health services","6,270","30,400","30,520"
"33100 Dental assistants and dental laboratory assistants","330","32,000","30,200"
"33101 Medical laboratory assistants and related technical occupations","280","41,200","38,400"
"33102 Nurse aides, orderlies and patient service associates","4,910","29,800","30,160"
"33103 Pharmacy technical assistants and pharmacy assistants","380","26,400","25,700"
"33109 Other assisting occupations in support of health services","375","37,600","34,800"
"4 Occupations in education, law and social, community and government services","34,255","44,800","54,900"
"40 Managers in public administration, in education and social and community services and in public protection services","1,715","97,000","93,700"
"400 Managers in public administration, in education and social and community services and in public protection services","1,715","97,000","93,700"
"4001 Managers in public administration","440","99,000","105,600"
"40010 Government managers - health and social policy development and program administration","95","107,000","108,000"
"40011 Government managers - economic analysis, policy development and program administration","235","99,000","103,000"
"40012 Government managers - education policy development and program administration","45","110,000","156,000"
"40019 Other managers in public administration","65","76,500","78,000"
"4002 Managers in education","735","101,000","101,000"
"40020 Administrators - post-secondary education and vocational training","270","82,000","101,000"
"40021 School principals and administrators of elementary and secondary education","470","101,000","101,200"
"4003 Managers in social, community and correctional services","325","66,500","65,200"
"40030 Managers in social, community and correctional services","325","66,500","65,200"
"4004 Managers in public protection services","215","95,000","87,000"
"40040 Commissioned police officers and related occupations in public protection services","0","0","0"
"40041 Fire chiefs and senior firefighting officers","25","81,000","95,000"
"40042 Commissioned officers of the Canadian Armed Forces","185","95,000","85,000"
"41 Professional occupations in law, education, social, community and government services","15,595","74,000","72,300"
"411 Professional occupations in law","770","131,000","162,800"
"4110 Judges, lawyers and Quebec notaries","770","131,000","162,800"
"41100 Judges","55","252,000","280,000"
"41101 Lawyers and Quebec notaries","715","130,000","153,600"
"412 Professional occupations in education services","9,775","73,000","68,300"
"4120 University professors and post-secondary assistants","2,315","52,800","67,300"
"41200 University professors and lecturers","1,120","117,000","111,000"
"41201 Post-secondary teaching and research assistants","1,200","10,200","26,450"
