"","occupation","employment","median.income","mean.income","geography","noc_code","nchar"
"359","72401 Heavy-duty equipment mechanics",44340,74000,79300,"Canada","72401",5
"360","72402 Heating, refrigeration and air conditioning mechanics",29605,59600,62450,"Canada","72402",5
"361","72403 Railway carmen/women",2495,84000,81000,"Canada","72403",5
"362","72404 Aircraft mechanics and aircraft inspectors",18495,72500,71300,"Canada","72404",5
"363","72405 Machine fitters",2140,61600,62150,"Canada","72405",5
"364","72406 Elevator constructors and mechanics",5845,102000,101500,"Canada","72406",5
"365","72410 Automotive service technicians, truck and bus mechanics and mechanical repairers",147535,49200,51900,"Canada","72410",5
"366","72411 Auto body collision, refinishing and glass technicians and damage repair estimators",28690,43200,46880,"Canada","72411",5
"367","72420 Oil and solid fuel heating mechanics",1585,47200,50440,"Canada","72420",5
"368","72421 Appliance servicers and repairers",5480,35200,39840,"Canada","72421",5
"369","72422 Electrical mechanics",10465,60400,61500,"Canada","72422",5
