"occupation","employment","median.income","mean.income","geography"
"51102 Archivists",1565,54800,53750,"Canada"
"5111 Writing, translating and related communications professionals",71035,38000,44600,"Canada"
"51110 Editors",13855,38800,43000,"Canada"
"51111 Authors and writers (except technical)",21690,20200,35000,"Canada"
"51112 Technical writers",8325,66500,66300,"Canada"
"51113 Journalists",10270,51200,55400,"Canada"
"51114 Translators, terminologists and interpreters",16890,34000,41000,"Canada"
"5112 Creative and performing artists",64310,20400,38920,"Canada"
"51120 Producers, directors, choreographers and related occupations",31925,52000,60050,"Canada"
"51121 Conductors, composers and arrangers",3255,15100,27840,"Canada"
"51122 Musicians and singers",29130,8100,17000,"Canada"
"52 Technical occupations in art, culture and sport",189280,42400,49800,"Canada"
"521 Technical occupations in art and culture",189280,42400,49800,"Canada"
"5210 Technical occupations in libraries and public archives",9990,42000,42080,"Canada"
"52100 Library and public archive technicians",9990,42000,42080,"Canada"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts",76040,48800,57300,"Canada"
"52110 Film and video camera operators",5050,26800,36720,"Canada"
"52111 Graphic arts technicians",12135,51600,62050,"Canada"
"52112 Broadcast technicians",1845,70500,67900,"Canada"
"52113 Audio and video recording technicians",25070,39200,43200,"Canada"
"52114 Announcers and other broadcasters",4725,44800,61750,"Canada"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",27220,62400,70400,"Canada"
"5212 Graphic and interior designers",103250,38400,45080,"Canada"
"52120 Graphic designers and illustrators",76660,40800,46920,"Canada"
"52121 Interior designers and interior decorators",26585,31600,39720,"Canada"
"53 Occupations in art, culture and sport",116775,12700,26880,"Canada"
"531 Occupations in art and culture",98280,11900,23760,"Canada"
"5310 Occupations related to museums and art galleries",6105,13600,22220,"Canada"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",6105,13600,22220,"Canada"
"5311 Photographers and support occupations in arts and culture",27735,18000,27800,"Canada"
"53110 Photographers",15710,10800,21860,"Canada"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",12025,30600,35600,"Canada"
"5312 Occupations in creative and performing art",64440,9600,22160,"Canada"
