"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","New Brunswick i5",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"32123 Cardiology technologists and electrophysiological diagnostic technologists","130","65,500","55,000"
"32124 Pharmacy technicians","625","37,600","38,000"
"32129 Other medical technologists and technicians","70","49,600","56,000"
"322 Practitioners of natural healing","800","20,400","24,000"
"3220 Practitioners of natural healing","800","20,400","24,000"
"32200 Traditional Chinese medicine practitioners and acupuncturists","35","16,600","20,000"
"32201 Massage therapists","655","25,000","27,000"
"32209 Other practitioners of natural healing","105","2,980","6,800"
"33 Assisting occupations in support of health services","11,180","29,400","29,160"
"331 Assisting occupations in support of health services","11,180","29,400","29,160"
"3310 Assisting occupations in support of health services","11,180","29,400","29,160"
"33100 Dental assistants and dental laboratory assistants","615","31,600","31,500"
"33101 Medical laboratory assistants and related technical occupations","425","43,600","40,600"
"33102 Nurse aides, orderlies and patient service associates","8,725","28,600","28,400"
"33103 Pharmacy technical assistants and pharmacy assistants","750","30,000","28,500"
"33109 Other assisting occupations in support of health services","665","27,800","30,750"
"4 Occupations in education, law and social, community and government services","51,160","50,000","55,200"
"40 Managers in public administration, in education and social and community services and in public protection services","3,355","87,000","82,800"
"400 Managers in public administration, in education and social and community services and in public protection services","3,355","87,000","82,800"
"4001 Managers in public administration","705","96,000","94,000"
"40010 Government managers - health and social policy development and program administration","230","94,000","89,000"
"40011 Government managers - economic analysis, policy development and program administration","270","100,000","101,000"
"40012 Government managers - education policy development and program administration","95","93,000","90,000"
"40019 Other managers in public administration","105","86,000","90,000"
"4002 Managers in education","980","99,000","92,800"
"40020 Administrators - post-secondary education and vocational training","345","72,000","81,200"
"40021 School principals and administrators of elementary and secondary education","640","102,000","98,800"
"4003 Managers in social, community and correctional services","800","51,600","56,800"
"40030 Managers in social, community and correctional services","800","51,600","56,800"
"4004 Managers in public protection services","875","87,000","86,400"
"40040 Commissioned police officers and related occupations in public protection services","50","114,000","120,000"
"40041 Fire chiefs and senior firefighting officers","55","108,000","96,000"
"40042 Commissioned officers of the Canadian Armed Forces","765","86,000","83,600"
"41 Professional occupations in law, education, social, community and government services","23,285","69,000","66,200"
"411 Professional occupations in law","1,440","88,000","111,400"
"4110 Judges, lawyers and Quebec notaries","1,440","88,000","111,400"
"41100 Judges","85","280,000","276,000"
"41101 Lawyers and Quebec notaries","1,355","84,000","101,500"
"412 Professional occupations in education services","13,930","74,500","65,900"
"4120 University professors and post-secondary assistants","2,855","50,000","68,000"
"41200 University professors and lecturers","1,500","118,000","107,500"
"41201 Post-secondary teaching and research assistants","1,355","11,200","24,140"
"4121 College and other vocational instructors","1,885","68,000","62,000"
"41210 College and other vocational instructors","1,885","68,000","62,000"
"4122 Secondary, elementary and kindergarten school teachers","9,190","77,500","66,000"
"41220 Secondary school teachers","2,905","82,000","68,400"
"41221 Elementary school and kindergarten teachers","6,290","76,500","64,900"
"413 Professional occupations in social and community services","4,230","62,000","57,400"
"4130 Social and community service professionals","3,065","61,200","54,950"
"41300 Social workers","1,865","67,000","62,050"
"41301 Therapists in counselling and related specialized therapies","305","34,000","35,600"
"41302 Religious leaders","900","49,200","46,700"
"4131 Police investigators and probation officers","220","76,500","81,000"
"41310 Police investigators and other investigative occupations","50","102,000","104,000"
"41311 Probation and parole officers","175","70,500","74,500"
"4132 Educational and employment counsellors","945","61,600","59,800"
"41320 Educational counsellors","660","68,000","63,300"
"41321 Career development practitioners and career counsellors (except education)","285","52,000","52,000"
"414 Professional occupations in government services","3,685","62,000","60,150"
"4140 Policy and program researchers, consultants and officers","3,685","62,000","60,150"
"41400 Natural and applied science policy researchers, consultants and program officers","540","73,500","73,600"
"41401 Economists and economic policy researchers and analysts","220","68,000","68,500"
"41402 Business development officers and market researchers and analysts","500","67,500","64,800"
"41403 Social policy researchers, consultants and program officers","840","60,400","59,000"
"41404 Health policy researchers, consultants and program officers","415","64,000","55,000"
"41405 Education policy researchers, consultants and program officers","595","56,000","57,200"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","135","47,200","47,000"
"41407 Program officers unique to government","325","42,400","46,600"
"41409 Other professional occupations in social science","105","60,000","57,000"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","11,235","31,200","41,720"
"421 Occupations in front-line public protection services","2,245","102,000","95,400"
"4210 Occupations in front-line public protection services","2,245","102,000","95,400"
